world_rank,institution,country,national_rank,quality_of_education,alumni_employment,quality_of_faculty,publications,influence,citations,broad_impact,patents,score,year
98,Yonsei University,South Korea,0.0044,1.0,0.0777,1.0,0.1391,0.3283,0.3946,0.2342,0.0253,0.125,2015
99,University of Oslo,Norway,0.0,0.1421,0.5035,0.1797,0.1051,0.1343,0.1233,0.1011,0.346,0.1213,2015
100,Kyushu University,Japan,0.0263,1.0,0.0848,1.0,0.1512,0.1828,0.3243,0.1992,0.0414,0.1175,2015
101,Technical University of Munich,Germany,0.0088,0.0984,0.2067,0.8111,0.1031,0.0899,0.1566,0.0941,0.1356,0.1172,2015
102,"Texas A&M University, College Station",USA,0.2412,0.9235,0.189,0.2074,0.0761,0.098,0.1073,0.1421,0.2299,0.1145,2015
103,University of Queensland,Australia,0.0088,0.7322,0.5141,0.6498,0.0641,0.0778,0.1233,0.0981,0.077,0.114,2015
104,Mines ParisTech,France,0.0175,0.7568,0.0389,0.7742,0.977,0.8414,1.0,0.9059,1.0,0.1129,2015
105,Case Western Reserve University,USA,0.2456,0.1339,0.3781,0.894,0.1361,0.1061,0.0715,0.0731,0.1264,0.1118,2015
106,Indiana University - Bloomington,USA,0.25,0.3634,0.0601,0.8157,0.1792,0.1434,0.1973,0.1892,0.2034,0.1115,2015
107,University of Alberta,Canada,0.0132,0.459,0.265,0.7005,0.0611,0.1091,0.0999,0.1021,0.1322,0.1113,2015
108,Leiden University,Netherlands,0.0088,0.3251,1.0,0.4654,0.0811,0.0939,0.0641,0.0551,0.2977,0.1099,2015
109,Tokyo Institute of Technology,Japan,0.0307,0.4617,0.0866,0.5853,0.1682,0.1697,0.1665,0.1892,0.0586,0.1091,2015
110,University of Groningen,Netherlands,0.0132,0.8525,0.3392,0.8986,0.0631,0.096,0.0826,0.0661,0.3621,0.1086,2015
111,University of Helsinki,Finland,0.0,0.1503,0.9717,0.5069,0.0791,0.0788,0.1073,0.0641,0.4816,0.1075,2015
112,Sapienza University of Rome,Italy,0.0,0.1803,0.3604,0.2028,0.0821,0.1667,0.2602,0.1291,0.3575,0.1063,2015
113,Georgetown University,USA,0.2544,0.4317,0.0583,1.0,0.2973,0.3232,0.3946,0.2032,0.1391,0.1054,2015
114,University of Amsterdam,Netherlands,0.0175,0.2951,0.5583,0.9724,0.0691,0.0879,0.1134,0.0591,0.323,0.1038,2015
